RUBRO,NOMBRE_FANTASIA,DIRECCION,NUMERO,LOCALIDAD,DEPARTAMENTO,TELEFONOS,CLASE,CATEGORIA,ESTADO,HABITACIONES,PLAZAS,TITULAR,E-MAIL,DIRECCION_COMPLETA,LATITUD,LONGITUD,cluster
CABAÑAS,AMANECER,VILLA DEL MILAGRO,292,CIUDAD,MALARGUE,0260-4471658/154584494,CABAÑAS,1 ESTRELLA,INSCRIPTO,4,12.0,"ZUÃÂ¥IGA DE BASTIAN, SILVIA HAYDEE",alojate@amanecercab.com.ar,CABAÃÂ¥AS AMANECER CIUDAD MALARGUE MENDOZA,-35.484462,-69.5797495,2
CAMPING,A.T.S.A.,ARROYO SECO Y CHAMPNAT,S/N,EL CHALLAO,LAS HERAS,4444809-4442167,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,A.T.S.A. ( FERNANDO D. FERREIRA),,CAMPING A.T.S.A. EL CHALLAO LAS HERAS MENDOZA,-32.853549,-68.898095,1
CABAÑAS,EL CHALLAO,LAS DELICIAS,70,EL CHALLAO,LAS HERAS,4447056,CABAÑAS,1 ESTRELLA,INSCRIPTO,14,74.0,"CEJUDO, MARIO RODOLFO DAVID",elchallao@gmail.com,CABAÃÂ¥AS EL CHALLAO EL CHALLAO LAS HERAS MENDOZA,-32.8523904,-68.8962314,1
ALOJAMIENTO,COMPLEJO TURISTICO ALFOMBRA MAGIKA,AV.CHAMPAGNAT,3162,EL CHALLAO,LAS HERAS,4440537,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"GONZALEZ, NOELIA LORENA",www.alfombramagika.com,ALOJAMIENTO COMPLEJO TURISTICO ALFOMBRA MAGIKA EL CHALLAO LAS HERAS MENDOZA,-32.8555053,-68.8954281,1
CAMPING,A.P.E.R.B.U.C.I.,AVELINO MAURE,746,BERMEJO,GUAYMALLEN,,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,A.P.E.R.B.U.C.I (NESTOR CEJAS),,CAMPING A.P.E.R.B.U.C.I. BERMEJO GUAYMALLEN MENDOZA,-32.8626393,-68.7952082,1
CAMPING,CARMEN,RUTA PCIAL.173,KM25,RAMA CAIDA,SAN RAFAEL,0260-4441078,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"ROLNY, ARIEL EMILIO",sheveley@hotmail.com,CAMPING CARMEN RAMA CAIDA SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
HOTEL,BARI,ALBERDI,89,DORREGO,GUAYMALLEN,4315518/ 4324362,HOTEL,1 ESTRELLA,INSCRIPTO,12,30.0,"CALABRETTO, JOSE",rosanabari@yahoo.com.ar,HOTEL BARI DORREGO GUAYMALLEN MENDOZA,-32.8964,-68.828582,1
HOTEL,PROVIDENCIA,BANDERA DE LOS ANDES,535,SAN JOSE,GUAYMALLEN,4312821-4311707,HOTEL,2 ESTRELLAS,INSCRIPTO,31,93.0,ASOC. COLONIA DE VACACIONES PERSONAL BCO PCIA DE BS AS.,hotelprovidencia@lacoloniabp.com.ar,HOTEL PROVIDENCIA SAN JOSE GUAYMALLEN MENDOZA,-32.8943048,-68.8259706,1
ALOJAMIENTO,ANTONIETA HOSTEL,DAY,244,CIUDAD,CAPITAL,4421170,ALOJAMIENTO,SIN CATEGORIZAR,E/T,1,26.0,"GENOVESE, MARIA ANGELICA",antonietahostel@gmail.com,ALOJAMIENTO ANTONIETA HOSTEL CIUDAD CAPITAL MENDOZA,-34.612896,-68.331773,0
ALOJAMIENTO,ALLAVUM,GRAL.VILLEGAS,1002,CIUDAD,MALARGUE,0260-42471713,CABAÑAS,1 ESTRELLA,INSCRIPTO,4,22.0,"MORALES, CELMIRA",cabanasallavun@hotmail.com,ALOJAMIENTO ALLAVUM CIUDAD MALARGUE MENDOZA,-35.484462,-69.5797495,2
HOSPEDAJE,LA POSADA DEL VALLE,RUTA 7,"KM145,9",USPALLATA,LAS HERAS,,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,20,40.0,INSIGNIA S.A.,,HOSPEDAJE LA POSADA DEL VALLE USPALLATA LAS HERAS MENDOZA,-32.6169375,-69.3479375,1
CABAÑAS,SUMAMPA,RUTA PROV. 82,KM30,POTRERILLOS,LAS HERAS,4228046/156541011,CABAÑAS,SIN CATEGORIZAR,INSCRIPTO,4,20.0,"PALERMO, MIGUEL ERNESTO",mendoza@cabanasumampa.com.ar - cabanasumampa@yahoo.com.ar,CABAÃÂ¥AS SUMAMPA POTRERILLOS LAS HERAS MENDOZA,-32.8518022,-68.8412763,1
CABAÑAS,SOLITUDINE,PANAMERICANA,KM23,LAS COMPUERTAS,LUJAN DE CUYO,4282331/4901059,CABAÑAS,2 ESTRELLAS,INSCRIPTO,8,48.0,CABAÃÂ¥AS S.R.L.,solitudinemza@yahoo.com.ar,CABAÃÂ¥AS SOLITUDINE LAS COMPUERTAS LUJAN DE CUYO MENDOZA,-33.0391386,-68.9990167,1
CABAÑAS,CABAÃÂ¥AS ANDINAS,AV.DEL PLATA Y LOS CONDORES,S/N,POTRERILLOS,LUJAN DE CUYO,02624-483120,CABAÑAS,1 ESTRELLA,INSCRIPTO,12,30.0,CUMBRES ANDINAS SRL,info@cabanasandinas.com,CABAÃÂ¥AS CABAÃÂ¥AS ANDINAS POTRERILLOS LUJAN DE CUYO MENDOZA,-32.9507408,-69.2056274,1
CAMPING,CLUB DE PESCA DEPORTIVOS GRAL. SAN MARTIN,PASAJE SAN MARTIN LOCAL A Y B SUBSUELO,S/N,EL CARRIZAL,LUJAN DE CUYO,4290374,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"DEVITA,JUAN",www.clubpescasanmartin.com,CAMPING CLUB DE PESCA DEPORTIVOS GRAL. SAN MARTIN EL CARRIZAL LUJAN DE CUYO MENDOZA,-33.3217114,-68.7598031,1
ALOJAMIENTO,VALLES DEL PLATA,ING.FRANCISCO GUIÃÂ¥AZU,S/N,POTRERILLOS,LUJAN DE CUYO,02622-488810-4236569,CENTRO DE ESQUI,CTRO.ESQUI,INSCRIPTO,,,"GERAS, ALEJANDRO",valledelplata@yahoo.com - geras@arlink.net.ar - PerÃÂ£ 1523 Cdad.,ALOJAMIENTO VALLES DEL PLATA POTRERILLOS LUJAN DE CUYO MENDOZA,-32.9507408,-69.2056274,1
ALOJAMIENTO,SIETE SURCOS,RUTA 144,KM.669,CUADRO BENEGAS,SAN RAFAEL,0260-4512777,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,12.0,"GENDE, GABRIEL JUAN PABLO",sietesurcos@hotmail.com,ALOJAMIENTO SIETE SURCOS CUADRO BENEGAS SAN RAFAEL MENDOZA,-34.6243974,-68.4371438,0
ALOJAMIENTO,VILLA LORETO,RUTA PROV.89,S/N,MANZANO HISTORICO,TUNUYAN,02622-423261/422221/15670763,ALOJAMIENTO,SIN CATEGORIZAR,E/T,6,24.0,"SANCER PEÃÂ¥A, JOSE",villaloreto@valledeuco.com,ALOJAMIENTO VILLA LORETO MANZANO HISTORICO TUNUYAN MENDOZA,-33.5946751,-69.373214,3
CABAÑAS,COCO,RUTA PANAMERICANA 82,KM29,COLONIA SUIZA,LUJAN DE CUYO,154704113-4106685,CABAÑAS,SIN CATEGORIZAR,INSCRIPTO,6,25.0,"COCO, JUAN ORLANDO",www.gosities.cabanascoco.com,CABAÃÂ¥AS COCO COLONIA SUIZA LUJAN DE CUYO MENDOZA,-32.9934519,-68.8869352,1
HOTEL,CIUDAD,ENTRE RIOS,96,CIUDAD,SAN RAFAEL,0260-4430886,HOTEL,1 ESTRELLA,INSCRIPTO,16,42.0,"BERTOLONE PUEBLA, AMERICO SEBASTIAN",,HOTEL CIUDAD CIUDAD SAN RAFAEL MENDOZA,-34.6193757,-68.3327071,0
HOSPEDAJE,RIVADAVIA HOTEL,LAVALLE,723,CIUDAD,RIVADAVIA,02623-444152,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,12,50.0,"PINISSI, LUIS OSCAR JUAN",rivadaviahotel@hotmail.com,HOSPEDAJE RIVADAVIA HOTEL CIUDAD RIVADAVIA MENDOZA,-33.1909479,-68.4621744,1
HOTEL,GRAN HOTEL MENDOZA,AV.ESPAÃÂ¥A,1210,CIUDAD,CAPITAL,4252000/2245,HOTEL,3 ESTRELLAS,INSCRIPTO,80,200.0,INVERSIONES MAIPO S.A.,gerencia@hotelmendoza.com - www.hotelmendoza.com,HOTEL GRAN HOTEL MENDOZA CIUDAD CAPITAL MENDOZA,-32.88637,-68.839035,1
HOTEL,KAPAC,PERU,1458,CIUDAD,CAPITAL,4250682,ALOJAMIENTO,SIN CATEGORIZAR,E/T,20,57.0,"FRANCO, SILVIA ELIANA",reservaskapac@hotmail.com,HOTEL KAPAC CIUDAD CAPITAL MENDOZA,-32.885025,-68.8474211,1
CABAÑAS,LOS ARREBOLES,CALLE PUBLICA,S/N,POTRERILLOS,LUJAN DE CUYO,02624-481103,CABAÑAS,SIN CATEGORIZAR,INSCRIPTO,5,30.0,"DI CARA, LUIS GUSTAVO",info@losarreboles.com.ar,CABAÃÂ¥AS LOS ARREBOLES POTRERILLOS LUJAN DE CUYO MENDOZA,-33.0171017,-69.2849397,1
ALOJAMIENTO,EBEN EZER,J.B.ALBERDI,580,SAN JOSE,GUAYMALLEN,4312635,ALOJAMIENTO,SIN CATEGORIZAR,E/T,12,40.0,SOCIEDAD DE HECHO WANAG WANAG,hotelebenezer@yahoo.com.ar,ALOJAMIENTO EBEN EZER SAN JOSE GUAYMALLEN MENDOZA,-32.8968869,-68.8504996,1
HOSPEDAJE,BARCELONA,AV.LIBERTADOR NORTE,465,CIUDAD,GRAL.ALVEAR,02625-425439,ALOJAMIENTO,SIN CATEGORIZAR,E/T,10,22.0,"ORTEGA, MARIA DOLORES- ORTEGA, FRANCISCA",,HOSPEDAJE BARCELONA CIUDAD GRAL.ALVEAR MENDOZA,-34.9779882,-67.6893858,0
HOSPEDAJE,PUESTA DEL SOL,DEAN FUNES,998,CIUDAD,SAN RAFAEL,0260-4434881,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,41,150.0,PUESTA DEL SOL SOCIEDAD DE HECHO,puestadelsol@infovia.com,HOSPEDAJE PUESTA DEL SOL CIUDAD SAN RAFAEL MENDOZA,-34.6127158,-68.3650766,0
HOSPEDAJE,EL REFUGIO,SANTA ROSA,S/N,RAMA CAIDA,SAN RAFAEL,0260-4433208,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,4,56.0,"ASENS, NELSON ANIBAL",,HOSPEDAJE EL REFUGIO RAMA CAIDA SAN RAFAEL MENDOZA,-34.71108,-68.385667,0
CAMPING,VILLA ROSEN GARTEN,SAN MARTIN,153,CIUDAD,SAN CARLOS,02622-451117/15677532,CAMPING,SIN CATEGORIZAR,INSCRIPTO,6,20.0,"TRETTEL, DARIO",hotelrosengarten@hotmail.com,CAMPING VILLA ROSEN GARTEN CIUDAD SAN CARLOS MENDOZA,-33.7721259,-69.0404345,3
COL.VACAC.,PUERTO CARRIZAL,LAS TURBERAS,S/N,EL CARRIZAL,LUJAN DE CUYO,155026925,COL.VACAC.,COMPL.TCO.,INSCRIPTO,10,30.0,"MERINO, CARLOS MANUEL Y FERNANDEZ, MARIA E.",puertocarrizal@hotmail.com,COL.VACAC. PUERTO CARRIZAL EL CARRIZAL LUJAN DE CUYO MENDOZA,-33.3378541,-68.7558582,1
APART-HOTEL,RUCA SKI,ALVEAR ESTE,500,CIUDAD,GRAL.ALVEAR,02625-422370,APART-HOTEL,1 ESTRELLA,INSCRIPTO,5,20.0,"SANCHEZ, MARTHA NIDIA",,APART-HOTEL RUCA SKI CIUDAD GRAL.ALVEAR MENDOZA,-34.9777972,-67.6833743,0
HOSPEDAJE,MEDITERRANEO,JOSE FEDERICO MORENO,1825,CIUDAD,CAPITAL,,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,8,16.0,"QUEVEDO, LILIANA RUTH",mediterraneslaf@hotmail.com,HOSPEDAJE MEDITERRANEO CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
ALOJAMIENTO,CAMPO BASE,AV.MITRE,946,CIUDAD,CAPITAL,4290707,ALOJAMIENTO,SIN CATEGORIZAR,E/T,7,36.0,"ROBLIN VILLALON, JOHANA ALEJANDRA",johana@campobase.com.ar,ALOJAMIENTO CAMPO BASE CIUDAD CAPITAL MENDOZA,-32.8898609,-68.842496,1
ALOJAMIENTO,NITRA II,RUTA PROV.173,KM25,VALLE GRANDE,SAN RAFAEL,0260-154530178-4439070,ALOJAMIENTO,SIN CATEGORIZAR,E/T,40,130.0,CAPIME S.R.L.,info@hotelesnitra.com.ar,ALOJAMIENTO NITRA II VALLE GRANDE SAN RAFAEL MENDOZA,-34.8187513,-68.448217,0
ALOJAMIENTO,LAGO CHICO,RUTA 143,"KM.33,600",VALLE GRANDE,SAN RAFAEL,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,2,10.0,"OLIVE, JUAN CARLOS",,ALOJAMIENTO LAGO CHICO VALLE GRANDE SAN RAFAEL MENDOZA,-34.8479765,-68.5202434,0
ALOJAMIENTO,BELGRANO,BELGRANO,965,CIUDAD,CAPITAL,4253090,ALOJAMIENTO,SIN CATEGORIZAR,E/T,20,60.0,"BORDAS, GONZALO",,ALOJAMIENTO BELGRANO CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
ALOJAMIENTO,SAN ALBERTO,SAN ALBERTO,LOTE 17,USPALLATA,LAS HERAS,02624-420313,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"GONZALEZ, OSCAR JORGE",,ALOJAMIENTO SAN ALBERTO USPALLATA LAS HERAS MENDOZA,-32.5992322,-69.3467356,1
CABAÑAS,DEL CERRO,RUTA PROV.173,KM24,VALLE GRANDE,SAN RAFAEL,0260-4441333,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,10,60.0,"MARTIN, PEDRO A. Y OTROS",reservas@complejodelcerro.com,CABAÃÂ¥AS DEL CERRO VALLE GRANDE SAN RAFAEL MENDOZA,-34.7910757,-68.3339275,0
ALOJAMIENTO,BAYARRI,SAN ISIDRO,1047,CIUDAD,RIVADAVIA,263-4443982,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,20.0,"BAYARRI, JOSE JESUS",bayarri@yahoo.com.art,ALOJAMIENTO BAYARRI CIUDAD RIVADAVIA MENDOZA,-33.1905778,-68.4618264,1
CABAÑAS,EL PLATA,CAMINO A VALLECITOS,S/N,POTRERILLOS,LUJAN DE CUYO,02624-481095/4285919,CABAÑAS,SIN CATEGORIZAR,INSCRIPTO,7,30.0,"CORVALÃÂµN, LUIS ROBERTO",info@complejoelplata.com.ar,CABAÃÂ¥AS EL PLATA POTRERILLOS LUJAN DE CUYO MENDOZA,-32.9507408,-69.2056274,1
ALOJAMIENTO,DON HUMBERTO,RUTA 188,S/N,GRAL.ALVEAR,GRAL.ALVEAR,02625-15408765,ALOJAMIENTO,SIN CATEGORIZAR,E/T,8,16.0,"CARO, HUMBERTO",,ALOJAMIENTO DON HUMBERTO GRAL.ALVEAR GRAL.ALVEAR MENDOZA,-34.9779882,-67.6893858,0
ALOJAMIENTO,MILITAR GRAL. SAN MARTIN,RUTA 7,S/N,PUENTE DEL INCA,LAS HERAS,02624-420138,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,CASINO DE OFICIALES,,ALOJAMIENTO MILITAR GRAL. SAN MARTIN PUENTE DEL INCA LAS HERAS MENDOZA,-32.8446446,-68.8645099,1
CABAÑAS,EL CORTIJO DEL TORREON,AV.LOS CONDORES Y CALLE 7,S/N,POTRERILLOS,LUJAN DE CUYO,4244581,CABAÑAS,SIN CATEGORIZAR,E/T,8,16.0,"HUERTA, JULIO OSVALDO",elcortijo@infovia.com.ar,CABAÃÂ¥AS EL CORTIJO DEL TORREON POTRERILLOS LUJAN DE CUYO MENDOZA,-32.9507408,-69.2056274,1
HOSPEDAJE,AVENIDA,ALVEAR ESTE,254,CIUDAD,GRAL.ALVEAR,02625-422638,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,21,57.0,"BISTOLFI, RICARDO HECTOR",info@hotelavda.com.ar,HOSPEDAJE AVENIDA CIUDAD GRAL.ALVEAR MENDOZA,-34.9779882,-67.6893858,0
HOTEL,FAMILY INN,H.YRIGOYEN,5501,LAS PAREDES,SAN RAFAEL,0260-4431451,HOTEL,2 ESTRELLAS,INSCRIPTO,20,41.0,GRANDE RIO S.A.,info@familyinnsanrafael.com.ar,HOTEL FAMILY INN LAS PAREDES SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
HOSTERIA,PUENTE DEL INCA,RUTA 7 ADM.9 DE JULIO 1023 -CAPITAL,KM177,PUENTE DEL INCA,LAS HERAS,4205304/2064,HOSTERIA,SIN CATEGORIZAR,INSCRIPTO,25,80.0,TURISMO AYMARA S.R.L.,hpdelinca@yahoo.com.ar,HOSTERIA PUENTE DEL INCA PUENTE DEL INCA LAS HERAS MENDOZA,-32.8222043,-69.9237139,1
ALOJAMIENTO,MOLINA,9 DE JULIO,215,CIUDAD,LA PAZ,0261-156619120,ALOJAMIENTO,SIN CATEGORIZAR,E/T,9,23.0,"ABATEDAGA DE MOLINA,MARTA ANA",,ALOJAMIENTO MOLINA CIUDAD LA PAZ MENDOZA,-33.45928,-67.5497468,0
ALOJAMIENTO,LOS CACTUS CACHEUTA,RUTA PROV.82,KM38,CACHEUTA,LUJAN DE CUYO,02624-490159,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,18.0,LOS CACTUS CACHEUTA S.A.,,ALOJAMIENTO LOS CACTUS CACHEUTA CACHEUTA LUJAN DE CUYO MENDOZA,-33.0137599,-69.1175893,1
CAMPING,EL MONTAÃÂ¥ES,RUTA VIEJA PROVNCIAL 89,S/N,POTRERILLOS,LUJAN DE CUYO,155353141,CAMPAMENTO,CAMPAMENTO,INSCRIPTO,,,COOPERATIVA GRAN MENDOZA LTA.,camping_elmontanes@yahoo.com.ar,CAMPING EL MONTAÃÂ¥ES POTRERILLOS LUJAN DE CUYO MENDOZA,-32.9507408,-69.2056274,1
APART-HOTEL,ANDINO,GRAL.PAZ,47-P1ÃÂ§,CIUDAD,CAPITAL,4252906,APART-HOTEL,1 ESTRELLA,INSCRIPTO,17,54.0,"DEL LATORRE, CAROLINA",apartandino@ciudad.com.ar wwwandinoaparthotel.com.ar,APART-HOTEL ANDINO CIUDAD CAPITAL MENDOZA,-32.884913,-68.838602,1
CABAÑAS,MICHU,PUBLICA Y AVDA. DEL SOL,S/N,POTRERILLOS,LUJAN DE CUYO,02624-481057,CABAÑAS,SIN CATEGORIZAR,INSCRIPTO,4,24.0,"MALTONI, ALBERTO ARTURO",,CABAÃÂ¥AS MICHU POTRERILLOS LUJAN DE CUYO MENDOZA,-32.9507408,-69.2056274,1
HOTEL,JARDIN,H.YRIGOYEN,283,CIUDAD,SAN RAFAEL,0260-4434621,PAT,PAT,INSCRIPTO,27,64.0,CARDAN S.R.L.,,HOTEL JARDIN CIUDAD SAN RAFAEL MENDOZA,-34.6151681,-68.3334261,0
ALOJAMIENTO,MARIA DE MENDOZA,LAS DELICIAS,S/N,EL CHALLAO,LAS HERAS,4440023,ALOJAMIENTO,SIN CATEGORIZAR,E/T,12,4.0,"BERLANGA, NILDA",maria_demendoza@yahoo.com.ar,ALOJAMIENTO MARIA DE MENDOZA EL CHALLAO LAS HERAS MENDOZA,-32.8523904,-68.8962314,1
HOSPEDAJE,MARIANI,LAMADRID,121,DORREGO,GUAYMALLEN,4319932,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,7,21.0,"MARIANI, LILIANA ENCINA DE",,HOSPEDAJE MARIANI DORREGO GUAYMALLEN MENDOZA,-32.9023328,-68.8586555,1
CABAÑAS,CABAÃÂ¥AS 15 MARIAS,AV.MITRE,4850,CIUDAD,SAN RAFAEL,0260-4442263,CABAÑAS,1 ESTRELLA,INSCRIPTO,17,52.0,"MUROS, CARLOS ALBERTO",cmuros@infovia.com.ar,CABAÃÂ¥AS CABAÃÂ¥AS 15 MARIAS CIUDAD SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
ALOJAMIENTO,UVAS APART HOTEL,CHILE,1230,CIUDAD,CAPITAL,261-5996913,ALOJAMIENTO,SIN CATEGORIZAR,E/T,11,24.0,"MARZETTI GIMENEZ, MARCELA FABIANA",mg.marcela@hotmail.com,ALOJAMIENTO UVAS APART HOTEL CIUDAD CAPITAL MENDOZA,-32.8880231,-68.8456368,1
PAT,MARIA FLORALES,RUTA 144,S/N,CUADRO BENEGAS,SAN RAFAEL,0260-4487018,PAT,PAT,INSCRIPTO,7,26.0,"VARELA, ROGELIO",,PAT MARIA FLORALES CUADRO BENEGAS SAN RAFAEL MENDOZA,-34.6439894,-68.3984963,0
ALOJAMIENTO,VILLA CIRUELOS,BERTANI,1300,LAS PAREDES,SAN RAFAEL,02604-4439673,ALOJAMIENTO,SIN CATEGORIZAR,E/T,4,12.0,"GREC, RICARDO ANTONIO",villaciruelos@yahoo.com.ar,ALOJAMIENTO VILLA CIRUELOS LAS PAREDES SAN RAFAEL MENDOZA,-34.6029265,-68.4069581,0
CABAÑAS,BERTA Y JORGE,RUTA PROV.82,KM30,,LAS HERAS,156504024,CABAÑAS,1 ESTRELLA,INSCRIPTO,3,15.0,"HOLLMANN, BERTA PAULINA",bertayjorge@yahoo.com.ar,CABAÃÂ¥AS BERTA Y JORGE nan LAS HERAS MENDOZA,-32.4678155,-69.1923916,1
HOTEL,BONARDA HOTEL,USPALLATA,840,DORREGO,GUAYMALLEN,4320503,ALOJAMIENTO,SIN CATEGORIZAR,E/T,69,214.0,POP COMPANY S.A.,reservas@bonardahotel.com.ar,HOTEL BONARDA HOTEL DORREGO GUAYMALLEN MENDOZA,-32.9711224,-68.7593859,1
APART-HOTEL,EL PORTAL SUITES,NECOCHEA,661,CIUDAD,CAPITAL,4382038/4258733,APART-HOTEL,3 ESTRELLAS,INSCRIPTO,26,90.0,DANUBIO S.A.,reservas@elportalsuites.com.ar,APART-HOTEL EL PORTAL SUITES CIUDAD CAPITAL MENDOZA,-32.8857176,-68.8468914,1
HOSPEDAJE,ELENA,SAAVEDRA,75,CIUDAD,SAN RAFAEL,0260-4423150,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,6,20.0,"RUSSO, MARTA E.",hotelresidencialelena@hotmail.com,HOSPEDAJE ELENA CIUDAD SAN RAFAEL MENDOZA,-34.6171831,-68.3505912,0
COL.VACAC.,KIAM-TE,RUTA PROV.82,KM39,CACHEUTA,LAS HERAS,02624-490154/51-490115,COL.VACAC.,COL.VACAC.,INSCRIPTO,5,78.0,"MAKSIMOWICZ, VICTOR",kiamte@ciudad.com.ar,COL.VACAC. KIAM-TE CACHEUTA LAS HERAS MENDOZA,-33.0112954,-69.1215345,1
ALOJAMIENTO,A.I.M.E.R. HOTEL,CURUPAYTTI,2120,JESUS NAZARENO,GUAYMALLEN,4267725,ALOJAMIENTO,SIN CATEGORIZAR,E/T,12,14.0,"ABACA, MIGUEL ANTONIO",,ALOJAMIENTO A.I.M.E.R. HOTEL JESUS NAZARENO GUAYMALLEN MENDOZA,-32.9279244,-68.7881164,1
ALOJAMIENTO,COMPLEJO RIO AZUL,RUTA 173,S/N,VALLE GRANDE,SAN RAFAEL,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"BIELLI, MONICA BEATRIZ",,ALOJAMIENTO COMPLEJO RIO AZUL VALLE GRANDE SAN RAFAEL MENDOZA,-34.8351307,-68.4706011,0
CABAÑAS,AGUAS CLARAS,RUTA PROV. 82-COLONIA SUIZA,S/N,COLONIA SUIZA,LAS HERAS,156529018,CABAÑAS,SIN CATEGORIZAR,INSCRIPTO,6,12.0,"HERNANDEZ, CARLOS JUAN",Web site: www.intertournet.com.ar/aguasclaras,CABAÃÂ¥AS AGUAS CLARAS COLONIA SUIZA LAS HERAS MENDOZA,-32.8518022,-68.8412763,1
ALOJAMIENTO,LUGAR DEL SOL,RUTA 7,"KM,1147",USPALLATA,LAS HERAS,02624-420525,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,30.0,"SABUGAL ALVAREZ, MARIA DEL SOCORO",,ALOJAMIENTO LUGAR DEL SOL USPALLATA LAS HERAS MENDOZA,-32.6061885,-69.352018,1
CAMPING,CLUB EL PELICANO,DIQUE CARRIZAL-MARGEN E.,S/N,EL CARRIZAL,RIVADAVIA,02623-422764,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"EL PELICANO Club de Pesca,caza",clubelpelicano@hotmail.com,CAMPING CLUB EL PELICANO EL CARRIZAL RIVADAVIA MENDOZA,-33.3217114,-68.7598031,1
HOSTERIA,BORRAVINO,MEDRANO,2658,CHACRAS DE CORIA,LUJAN DE CUYO,4964445,HOSTERIA,3 ESTRELLAS,INSCRIPTO,8,16.0,GRUPO 4 S.R.L.,reservas@posadaborravino.com,HOSTERIA BORRAVINO CHACRAS DE CORIA LUJAN DE CUYO MENDOZA,-32.9981155,-68.8947601,1
ALOJAMIENTO,INDALO,25 DE MAYO,525,DORREGO,GUAYMALLEN,4316000 - 155119588,HOTEL,1 ESTRELLA,INSCRIPTO,19,19.0,"ALVAREZ, JUAN CARLOS",hotelindalo2005@yahoo.com.ar,ALOJAMIENTO INDALO DORREGO GUAYMALLEN MENDOZA,-32.8968869,-68.8504996,1
ALOJAMIENTO,VERDE OLIVA,MONTECASEROS,2223,COQUIMBITO,MAIPU,156575604,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,13.0,VALLESI S.R.L.,juliamoreno@verdeoliva.com.ar,ALOJAMIENTO VERDE OLIVA COQUIMBITO MAIPU MENDOZA,-32.9556308,-68.7489039,1
ALOJAMIENTO,CLUB NAUTICA Y PESCA LOS REYUNOS,LOS REYUNOS,S/N,LOS REYUNOS,SAN RAFAEL,0260-154563767,ALOJAMIENTO,SIN CATEGORIZAR,E/T,4,16.0,"ANSALONI, FABIAN MARCELO",,ALOJAMIENTO CLUB NAUTICA Y PESCA LOS REYUNOS LOS REYUNOS SAN RAFAEL MENDOZA,-34.6104836,-68.3355793,0
ALOJAMIENTO,PARQUE,AV.BULOGNE SUR MER,85,CIUDAD,CAPITAL,,ALOJAMIENTO,SIN CATEGORIZAR,INSCRIPTO,8,32.0,APART HOTEL PARQUE S.A.,aparthotelparque@infovia.com.ar www.aparthotelparque.com.ar,ALOJAMIENTO PARQUE CIUDAD CAPITAL MENDOZA,-34.5869034,-68.1431414,0
HOSTEL,SAVIGLIANO,PEDRO B.PALACIOS,944,CIUDAD,CAPITAL,4237746,HOSTEL,HOSTEL,INSCRIPTO,9,30.0,"RAMIREZ VARGAS, CARLOS",www.savigliano.com.ar,HOSTEL SAVIGLIANO CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
CABAÑAS,INTI-CO,LOS REYUNOS,S/N,LOS REYUNOS,SAN RAFAEL,0260-4426625/154662291,CABAÑAS,SIN CATEGORIZAR,INSCRIPTO,6,18.0,"GIANNONE, CARLOS ALBERTO",intico@infovia.com.ar,CABAÃÂ¥AS INTI-CO LOS REYUNOS SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
HOTEL,ALCOR HOTEL,GRAL.PAZ,86,CIUDAD,CAPITAL,4381000,HOTEL,3 ESTRELLAS,INSCRIPTO,50,100.0,"JAY S.A. (SCHERBOSKY, RAFAEL HUGO)",info@alcorhotel.com.ar,HOTEL ALCOR HOTEL CIUDAD CAPITAL MENDOZA,-32.8852111,-68.8391667,1
